Accounts Manager,ຄຸ້ມຄອງບັນຊີ,
Accounts User,ບັນຊີຜູ້ໃຊ້,
Active,ການເຄື່ອນໄຫວ,
Advanced Settings,ຕັ້ງຄ່າຂັ້ນສູງ,
Amended From,ສະບັບປັບປຸງຈາກ,
Amount,ຈໍານວນ,
Annual,ປະຈໍາປີ,
Approved,ການອະນຸມັດ,
Approved Date,ວັນທີ່ຖືກອະນຸມັດ,
Arial,Arial,
Assignment,ການມອບຫມາຍ,
Billing Address,ທີ່ຢູ່ໃບບິນ,
Branch Code,ລະຫັດສາຂາ,
Cancelled,ຫຼຸດລົງ,
Category,ປະເພດ,
Company,ບໍລິສັດ,
Contact Person,ຕິດຕໍ່ບຸກຄົນ,
Country,ປະເທດ,
Custom,Custom,
Customer,ລູກຄ້າ,
Customer Address,ທີ່ຢູ່ຂອງລູກຄ້າ,
Customer Details,ລາຍລະອຽດຂອງລູກຄ້າ,
Customer Name,ຊື່ຂອງລູກຄ້າ,
Delivery Note,ການສົ່ງເງິນ,
Department,ພະແນກ,
Description,ລາຍລະອຽດ,
Designation,ການອອກແບບ,
Details,ລາຍລະອຽດ,
Document Type,ປະເພດເອກະສານ,
Draft,Draft,
Due Date,ວັນຄົບກໍານົດ,
Employee,ພະນັກງານ,
Employee Information,ຂໍ້ມູນພະນັກງານ,
Employee Name,ຊື່ພະນັກງານ,
Expired,ຫມົດອາຍຸແລ້ວ,
From Date,ຈາກວັນທີ່,
General,ໂດຍທົ່ວໄປ,
General Settings,ການຕັ້ງຄ່າທົ່ວໄປ,
Georgia,Georgia,
Grand Total,ລວມທັງຫມົດ,
Helvetica,Helvetica,
Income Tax,ອາກອນລາຍໄດ້,
Invoice,ໃບເກັບເງິນ,
Invoice Date,ວັນທີ່ໃບເກັບເງິນ,
Is Active,ເປັນກິດຈະກໍາ,
Issued,ອອກ,
Item Code,ລະຫັດສິນຄ້າ,
Item Name,ຊື່ສິນຄ້າ,
Keyboard Shortcuts,ຄີບອດ,
Month,ເດືອນ,
Monthly,ປະຈໍາເດືອນ,
Naming Series,ການຕັ້ງຊື່ Series,
Net Pay,ຈ່າຍສຸດທິ,
None,ບໍ່ມີ,
Notes,ອ່ືນ,
Outstanding Amount,ຈໍານວນເງິນທີ່ຍັງຄ້າງຄາ,
Overdue,ຄ້າງຊໍາລະ,
Paid,ການຊໍາລະເງິນ,
Payment,ການຊໍາລະເງິນ,
Payment Date,ວັນທີ່ສະຫມັກການຊໍາລະເງິນ,
Payment Entry,Entry ການຊໍາລະເງິນ,
Pending,ທີ່ຍັງຄ້າງ,
Phone,ໂທລະສັບ,
Position,ຕໍາແຫນ່ງ,
Posting Date,ວັນທີ່ປະກາດ,
Print Format,ຮູບແບບການພິມ,
Provident Fund,ກອງທຶນຜູ້ໃຫ້ບໍລິການ,
Purchase Invoice,ໃບເກັບເງິນຊື້,
Purchase Order,ໃບສັ່ງຊື້,
Purchase Receipt,ຮັບຊື້,
Qty,ຈໍານວນ,
Quotation,ວົງຢືມ,
Rate,ອັດຕາການ,
Receipt,ຮັບ,
Received,ໄດ້ຮັບ,
Rejected,ປະຕິເສດ,
Reload,ໂຫລດ,
Remarks,ຂໍ້ສັງເກດ,
Request for Quotation,ການຮ້ອງຂໍສໍາລັບວົງຢືມ,
Salary Slip,Slip ເງິນເດືອນ,
Sales Invoice,ໃບເກັບເງິນການຂາຍ,
Sales Manager,ຜູ້ຈັດການຝ່າຍຂາຍ,
Sales Order,ຂາຍສິນຄ້າ,
Sales User,User ຂາຍ,
Series,Series,
Session Defaults,ຄ່າເລີ່ມຕົ້ນຂອງກອງປະຊຸມ,
Signature,ລາຍເຊັນ,
Status,ສະຖານະພາບ,
Submitted,ສົ່ງ,
Supplier,ຜູ້ຈັດຈໍາຫນ່າຍ,
Supplier Address,ທີ່ຢູ່ຜູ້ຜະລິດ,
Supplier Name,ຊື່ຜູ້ຜະລິດ,
System Manager,ຈັດການລະບົບ,
Tax ID,ID ພາສີ,
Template Name,ຊື່ສິນຄ້າ,
Text Color,ຂໍ້ຄວາມສີ,
Title,Title,
To Date,ຈົນເຖິງວັນທີ່,
Total Amount,ຈໍານວນທັງຫມົດ,
Total Amount Paid,ຈໍານວນເງິນທີ່ຈ່າຍ,
Totals,ຈໍານວນທັງຫມົດ,
UOM,UOM,
Urgent,ການອັນຮີບດ່ວນ,
User,ຜູ້ໃຊ້,
Verdana,Verdana,
View Website,ເບິ່ງເວັບໄຊທ໌,
Workflow State,State workflow,
Year,ປີ,
